pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtested,numrecover,percentrecover,ratetested,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,numtotal_last7,ratetotal_last7,numdeaths_last7,ratedeaths_last7,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
35,Ontario,Ontario,2020-01-31,3,0,0.0,3,,,,,3,300.0,0.02,0.0,0.0,0.0,,,100.0,3.0,0.02,,,,,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-01-31,1,0,0.0,1,,,,,1,100.0,0.02,0.0,0.0,0.0,,,100.0,1.0,0.02,,,,,,,,,,,,
1,Canada,Canada,2020-01-31,4,0,0.0,4,,,,,4,400.0,0.01,0.0,0.0,0.0,,,100.0,4.0,0.01,,,,,,,,,,,,
35,Ontario,Ontario,2020-02-08,3,0,0.0,3,,,,,0,0.0,0.02,0.0,0.0,0.0,,,100.0,3.0,0.02,,,,,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-02-08,4,0,0.0,4,,,,,3,300.0,0.08,0.0,0.0,0.0,,,100.0,4.0,0.08,,,,,,,,,,,,
1,Canada,Canada,2020-02-08,7,0,0.0,7,,,,,3,75.0,0.02,0.0,0.0,0.0,,,100.0,7.0,0.02,,,,,,,,,,,,
35,Ontario,Ontario,2020-02-16,3,0,0.0,3,,,,,0,0.0,0.02,0.0,0.0,0.0,,,100.0,3.0,0.02,,,,,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-02-16,5,0,0.0,5,,,,,1,25.0,0.1,0.0,0.0,0.0,,,100.0,5.0,0.1,,,,,,,,,,,,
1,Canada,Canada,2020-02-16,8,0,0.0,8,,,,,1,14.29,0.02,0.0,0.0,0.0,,,100.0,8.0,0.02,,,,,,,,,,,,
35,Ontario,Ontario,2020-02-21,3,0,0.0,3,,,,,0,0.0,0.02,0.0,0.0,0.0,,,100.0,3.0,0.02,,,,,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-02-21,6,0,0.0,6,,,,,1,20.0,0.12,0.0,0.0,0.0,,,100.0,6.0,0.12,,,,,,,,,,,,
