date,days_elapse,new_count_update,new_deaths_update,new_recover_update,new_numtotal,new_numdeaths,new_numrecover
2020-01-31,0,1.0,0.0,0.0,1.0,0.0,0.0
2020-02-01,1,0.0,0.0,0.0,1.0,0.0,0.0
2020-02-02,2,0.0,0.0,0.0,1.0,0.0,0.0
2020-02-03,3,0.0,0.0,0.0,1.0,0.0,0.0
2020-02-04,4,0.0,0.0,0.0,1.0,0.0,0.0
2020-02-05,5,0.0,0.0,0.0,1.0,0.0,0.0
2020-02-06,6,0.0,0.0,0.0,1.0,0.0,0.0
2020-02-07,7,0.0,0.0,0.0,1.0,0.0,0.0
2020-02-08,8,3.0,0.0,0.0,4.0,0.0,0.0
2020-02-09,9,0.0,0.0,0.0,4.0,0.0,0.0
2020-02-10,10,0.0,0.0,0.0,4.0,0.0,0.0
2020-02-11,11,0.0,0.0,0.0,4.0,0.0,0.0
2020-02-12,12,0.0,0.0,0.0,4.0,0.0,0.0
2020-02-13,13,0.0,0.0,0.0,4.0,0.0,0.0
2020-02-14,14,0.0,0.0,0.0,4.0,0.0,0.0
2020-02-15,15,0.0,0.0,0.0,4.0,0.0,0.0
2020-02-16,16,1.0,0.0,0.0,5.0,0.0,0.0
2020-02-17,17,0.0,0.0,0.0,5.0,0.0,0.0
2020-02-18,18,0.0,0.0,0.0,5.0,0.0,0.0
2020-02-19,19,0.0,0.0,0.0,5.0,0.0,0.0
2020-02-20,20,0.0,0.0,0.0,5.0,0.0,0.0
2020-02-21,21,1.0,0.0,0.0,6.0,0.0,0.0
2020-02-22,22,0.0,0.0,0.0,6.0,0.0,0.0
2020-02-23,23,0.0,0.0,0.0,6.0,0.0,0.0
2020-02-24,24,0.0,0.0,0.0,6.0,0.0,0.0
2020-02-25,25,1.0,0.0,0.0,7.0,0.0,0.0
2020-02-26,26,0.0,0.0,0.0,7.0,0.0,0.0
2020-02-27,27,0.0,0.0,0.0,7.0,0.0,0.0
2020-02-28,28,0.0,0.0,0.0,7.0,0.0,0.0
2020-02-29,29,0.0,0.0,0.0,7.0,0.0,0.0
2020-03-01,30,1.0,0.0,0.0,8.0,0.0,0.0
2020-03-02,31,2.0,0.0,0.0,10.0,0.0,0.0
2020-03-03,32,2.0,0.0,0.0,12.0,0.0,0.0
2020-03-04,33,4.0,0.0,0.0,16.0,0.0,0.0
2020-03-05,34,5.0,0.0,0.0,21.0,0.0,0.0
2020-03-06,35,3.0,0.0,0.0,24.0,0.0,0.0
2020-03-07,36,3.0,0.0,0.0,27.0,0.0,0.0
